MapHeight,MapWidth,Scene,Probability,Obs0,Obs1,Obs2,Obs3,Obs4,Obs5,Obs6,Obs7,Obs8,Obs9,Obs10,Obs11,Obs12,Obs13,Obs14,Obs15,Obs16,Obs17,Obs18,Obs19,Obs20,Obs21,Obs22,Obs23,Obs24
11,11,40,4.903369158351877e-05,0,0,3,3,3,3,3,0,0,0,0,0,1,1,2,2,1,2,1,1,2,1,2,1,1
11,11,40,4.864530590760971e-05,0,0,0,0,3,0,3,0,3,3,0,3,1,1,1,1,2,1,1,2,2,2,2,1,1
11,11,40,4.981046293533689e-05,0,0,0,0,3,3,3,0,0,0,3,3,2,1,2,1,1,1,1,2,2,1,2,1,1
11,11,40,4.825692023170065e-05,0,0,0,0,3,3,0,0,0,3,3,3,2,2,2,1,1,1,1,2,1,2,1,1,1
11,11,40,5.107271638204133e-05,0,0,0,0,3,0,3,3,3,3,0,0,1,2,1,2,2,1,2,2,1,1,1,1,1
11,11,40,4.825692023170065e-05,0,0,3,3,3,0,3,0,3,0,0,0,2,1,1,2,1,1,1,1,2,2,2,1,1
11,11,40,5.146110205795039e-05,0,0,3,0,0,3,0,0,3,0,3,3,2,2,1,2,2,2,1,1,1,1,1,1,1
11,11,40,5.107271638204133e-05,0,0,3,0,0,3,0,0,0,3,3,3,2,2,1,2,1,1,1,2,1,2,1,1,1
11,11,40,4.913078800249604e-05,0,0,0,0,3,0,0,0,3,3,3,3,2,1,1,1,2,1,1,2,1,2,2,1,1
11,11,40,9.661093688237856e-05,0,0,3,3,0,0,3,0,3,0,0,3,1,1,1,2,1,1,1,2,2,2,2,1,1
11,11,40,4.913078800249604e-05,0,0,3,0,3,3,0,0,3,3,0,0,2,1,2,2,1,1,2,2,1,1,1,1,1
11,11,40,4.942207725942783e-05,0,0,0,3,3,0,0,3,3,0,3,0,2,2,1,1,2,2,2,1,1,1,1,1,1
11,11,40,4.981046293533689e-05,0,0,3,3,3,3,0,0,0,0,3,0,1,2,2,2,2,1,2,1,1,1,1,1,1
11,11,40,4.631499185215534e-05,0,0,0,0,0,0,0,3,3,3,3,3,2,1,2,2,1,1,2,2,1,1,1,1,1
11,11,40,4.845111306965518e-05,0,0,3,3,3,0,0,3,3,0,0,0,2,1,1,2,2,1,1,2,2,1,1,1,1
11,11,40,4.845111306965518e-05,0,0,3,3,0,0,0,3,0,0,3,3,1,1,2,1,1,2,2,2,2,1,1,1,1
11,11,40,9.894125093783292e-05,0,0,3,0,3,0,0,0,3,0,3,3,2,1,1,2,2,2,1,2,1,1,1,1,1
11,11,40,0.0020411609197400625,0,0,0,2,0,0,0,0,1,1,1,1,1,1,3,1,1
11,11,40,5.107271638204133e-05,0,0,3,3,0,3,3,0,0,0,3,0,1,1,1,1,2,2,1,2,1,2,2,1,1
11,11,40,4.903369158351877e-05,0,0,3,3,0,3,3,0,3,0,0,0,1,2,1,1,2,1,2,1,2,2,1,1,1
11,11,40,4.864530590760971e-05,0,0,0,0,3,3,0,3,3,0,3,0,2,1,2,1,2,2,1,2,1,1,1,1,1
11,11,40,4.845111306965518e-05,0,0,0,0,3,3,0,0,3,3,0,3,2,1,1,2,1,2,1,1,1,2,2,1,1
11,11,40,4.631499185215534e-05,0,0,3,0,0,0,0,0,3,3,3,3,2,2,1,1,1,2,2,2,1,1,1,1,1
11,11,40,4.825692023170065e-05,0,0,0,3,3,3,0,0,3,0,0,3,2,1,2,1,2,1,2,1,2,1,1,1,1
11,11,40,5.146110205795039e-05,0,0,3,3,3,3,0,3,0,0,0,0,2,1,2,1,1,2,1,2,1,2,1,1,1
11,11,40,4.825692023170065e-05,0,0,0,0,0,3,3,3,3,3,0,0,1,1,2,1,2,2,1,1,2,2,1,1,1
11,11,40,4.942207725942783e-05,0,0,3,0,3,0,3,0,3,3,0,0,1,1,1,2,1,2,2,1,1,2,2,1,1
11,11,40,4.864530590760971e-05,0,0,3,0,3,0,3,0,0,0,3,3,2,1,2,1,2,1,1,2,1,2,1,1,1
11,11,40,4.942207725942783e-05,0,0,3,0,0,0,3,3,3,0,0,3,1,1,2,2,2,2,1,1,2,1,1,1,1
11,11,40,4.8159823812723385e-05,0,0,3,3,0,0,3,0,3,3,0,0,2,1,1,1,1,1,1,2,2,2,2,1,1
11,11,40,4.8159823812723385e-05,0,0,0,3,3,3,0,0,3,0,0,3,1,2,1,1,2,2,1,2,1,1,2,1,1
11,11,40,4.903369158351877e-05,0,0,0,0,0,0,3,3,3,0,3,3,2,1,2,2,1,2,1,1,2,1,1,1,1
11,11,40,4.786853455579159e-05,0,0,0,0,3,3,0,0,3,3,0,3,2,2,1,2,2,1,2,1,1,1,1,1,1
11,11,40,4.8159823812723385e-05,0,0,3,0,3,0,0,3,3,0,0,3,2,1,1,2,2,2,2,1,1,1,1,1,1
11,11,40,4.942207725942783e-05,0,0,0,3,3,0,0,0,3,0,3,3,1,1,2,1,2,1,1,2,2,1,2,1,1
11,11,40,5.146110205795039e-05,0,0,0,0,3,3,0,3,3,0,3,0,2,2,2,1,1,2,2,1,1,1,1,1,1
11,11,40,4.786853455579159e-05,0,0,3,3,0,0,3,0,3,3,0,0,1,1,2,2,2,2,2,1,1,1,1,1,1
11,11,40,4.8159823812723385e-05,0,0,3,0,0,0,0,0,3,3,3,3,2,2,1,1,1,2,1,2,2,1,1,1,1
11,11,40,4.825692023170065e-05,0,0,0,0,3,0,3,3,0,3,0,3,2,1,2,1,1,2,1,1,2,1,2,1,1
11,11,40,4.845111306965518e-05,0,0,0,3,3,3,0,3,0,0,0,3,2,2,2,2,1,2,1,1,1,1,1,1,1
11,11,40,9.418352640794693e-05,0,0,0,3,0,3,0,0,3,0,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1
11,11,40,4.825692023170065e-05,0,0,3,3,0,3,3,0,3,0,0,0,1,2,2,1,1,2,2,2,1,1,1,1,1
11,11,40,4.981046293533689e-05,0,0,3,3,0,3,0,3,0,0,0,3,2,1,2,2,2,1,1,1,2,1,1,1,1
11,11,40,4.8159823812723385e-05,0,0,3,3,3,3,0,0,0,0,0,3,1,1,2,1,2,2,1,2,1,1,2,1,1
11,11,40,4.981046293533689e-05,0,0,3,0,3,0,0,0,0,3,3,3,1,1,2,1,1,1,2,1,2,2,2,1,1
11,11,40,4.8159823812723385e-05,0,0,3,3,3,3,3,0,0,0,0,0,1,1,2,1,2,1,2,1,1,2,2,1,1
11,11,40,4.631499185215534e-05,0,0,3,0,0,0,0,3,3,3,3,0,1,1,2,2,1,1,1,2,2,2,1,1,1
11,11,40,4.981046293533689e-05,0,0,3,3,0,0,0,3,0,0,3,3,1,1,1,1,2,2,2,2,1,1,2,1,1
11,11,40,4.8159823812723385e-05,0,0,0,3,3,3,0,0,0,0,3,3,2,1,1,1,2,1,1,1,2,2,2,1,1
11,11,40,4.903369158351877e-05,0,0,0,0,3,0,3,3,3,3,0,0,1,1,1,2,2,2,1,2,1,2,1,1,1
11,11,40,4.981046293533689e-05,0,0,3,0,0,0,3,0,0,3,3,3,1,2,1,2,2,2,2,1,1,1,1,1,1
11,11,40,4.845111306965518e-05,0,0,3,0,0,0,3,3,0,0,3,3,1,2,2,2,1,2,2,1,1,1,1,1,1
11,11,40,5.107271638204133e-05,0,0,3,0,3,3,3,0,3,0,0,0,1,2,1,2,1,2,2,1,1,2,1,1,1
11,11,40,9.418352640794693e-05,0,0,0,3,3,0,0,3,0,0,3,3,1,2,2,2,2,2,1,1,1,1,1,1,1
11,11,40,4.8159823812723385e-05,0,0,3,3,0,0,0,3,0,0,3,3,2,1,2,1,1,2,1,2,2,1,1,1,1
11,11,40,4.8159823812723385e-05,0,0,3,0,0,0,3,3,0,3,0,3,1,2,1,2,1,1,2,2,1,2,1,1,1
11,11,40,9.806738316703754e-05,0,0,3,3,0,3,3,3,0,0,0,0,2,1,2,1,1,2,2,2,1,1,1,1,1
11,11,40,4.913078800249604e-05,0,0,3,3,3,0,0,0,0,0,3,3,1,1,2,1,1,2,1,1,2,2,2,1,1
11,11,40,4.942207725942783e-05,0,0,0,3,0,0,3,3,0,3,3,0,2,2,1,2,2,2,1,1,1,1,1,1,1
11,11,40,4.8159823812723385e-05,0,0,0,0,0,0,0,3,3,3,3,3,2,2,1,2,1,1,2,2,1,1,1,1,1
11,11,40,4.845111306965518e-05,0,0,0,0,3,3,3,3,0,0,0,3,1,2,2,1,1,1,1,1,2,2,2,1,1
11,11,40,4.864530590760971e-05,0,0,3,3,3,3,3,0,0,0,0,0,2,2,1,1,1,2,2,1,1,2,1,1,1
11,11,40,4.825692023170065e-05,0,0,3,0,3,0,0,3,3,3,0,0,2,2,1,1,2,2,1,2,1,1,1,1,1
11,11,40,5.146110205795039e-05,0,0,0,3,0,3,0,3,3,0,0,3,1,1,1,2,1,2,2,2,2,1,1,1,1
11,11,40,5.146110205795039e-05,0,0,0,0,0,3,0,0,3,3,3,3,2,1,2,1,1,2,1,2,2,1,1,1,1
11,11,40,4.981046293533689e-05,0,0,3,0,0,3,0,3,3,0,0,3,2,1,1,1,2,1,2,1,1,2,2,1,1
11,11,40,4.903369158351877e-05,0,0,0,3,3,3,0,3,0,0,0,3,1,1,1,2,2,2,2,1,1,2,1,1,1
11,11,40,4.825692023170065e-05,0,0,3,0,3,3,0,0,3,0,3,0,2,1,2,1,2,2,1,2,1,1,1,1,1
11,11,40,4.942207725942783e-05,0,0,3,0,3,3,0,3,0,3,0,0,2,1,1,2,1,2,1,1,2,1,2,1,1
11,11,40,4.913078800249604e-05,0,0,0,3,0,3,0,3,0,0,3,3,1,1,2,1,1,1,1,2,2,2,2,1,1
11,11,40,4.913078800249604e-05,0,0,0,3,3,3,0,3,3,0,0,0,1,2,2,2,2,2,1,1,1,1,1,1,1
11,11,40,4.8159823812723385e-05,0,0,3,3,3,0,0,0,3,0,3,0,2,1,1,2,1,2,2,1,1,2,1,1,1
11,11,40,5.146110205795039e-05,0,0,0,0,0,3,3,3,0,0,3,3,2,2,1,1,1,1,1,2,1,2,2,1,1
11,11,40,4.825692023170065e-05,0,0,0,3,3,3,0,3,0,0,0,3,1,2,2,2,2,2,1,1,1,1,1,1,1
11,11,40,4.864530590760971e-05,0,0,3,3,0,0,0,0,3,0,3,3,1,1,2,2,2,2,1,1,1,1,2,1,1
11,11,40,4.942207725942783e-05,0,0,0,0,3,0,3,0,3,0,3,3,1,2,2,2,1,1,2,1,1,1,2,1,1
11,11,40,4.864530590760971e-05,0,0,3,3,0,0,0,3,3,3,0,0,1,1,1,1,1,1,2,2,2,2,2,1,1
11,11,40,9.631964762544677e-05,0,0,3,0,3,0,3,0,3,3,0,0,2,1,2,2,2,2,1,1,1,1,1,1,1
11,11,40,9.729061181521942e-05,0,0,3,3,0,3,3,3,0,0,0,0,2,2,2,2,1,2,1,1,1,1,1,1,1
11,11,40,4.845111306965518e-05,0,0,3,0,0,0,0,3,3,3,3,0,1,2,1,1,1,2,1,2,1,2,2,1,1
11,11,40,4.845111306965518e-05,0,0,3,3,3,0,3,0,0,3,0,0,1,1,2,2,1,2,2,1,1,1,2,1,1
11,11,40,4.903369158351877e-05,0,0,3,3,0,0,3,0,0,0,3,3,1,1,2,2,1,2,1,2,1,2,1,1,1
11,11,40,4.903369158351877e-05,0,0,0,3,3,0,0,3,0,3,0,3,1,1,2,1,2,1,1,1,2,2,2,1,1
11,11,40,4.631499185215534e-05,0,0,3,0,0,0,3,3,0,0,3,3,2,1,2,2,2,1,1,2,1,1,1,1,1
11,11,40,4.981046293533689e-05,0,0,3,0,3,0,3,0,3,0,3,0,1,2,1,1,1,2,1,2,2,1,2,1,1
11,11,40,4.8159823812723385e-05,0,0,3,3,0,0,0,3,3,3,0,0,1,2,1,2,1,1,2,1,1,2,2,1,1
11,11,40,4.845111306965518e-05,0,0,0,3,0,3,3,3,0,0,3,0,1,1,2,2,2,1,1,2,2,1,1,1,1
11,11,40,4.981046293533689e-05,0,0,3,0,0,0,3,0,3,3,3,0,2,2,1,1,2,1,1,2,2,1,1,1,1
11,11,40,4.825692023170065e-05,0,0,0,0,0,0,0,3,3,3,3,3,1,2,1,1,2,2,1,2,2,1,1,1,1
11,11,40,5.107271638204133e-05,0,0,0,3,0,0,0,3,0,3,3,3,2,2,1,1,1,1,2,2,1,1,2,1,1
11,11,40,4.913078800249604e-05,0,0,3,0,0,0,3,3,0,0,3,3,1,1,2,2,2,2,1,1,1,2,1,1,1
11,11,40,4.913078800249604e-05,0,0,0,0,0,0,3,3,0,3,3,3,2,1,1,1,2,2,2,1,2,1,1,1,1
11,11,40,4.913078800249604e-05,0,0,0,0,3,3,0,3,0,0,3,3,1,1,2,2,1,1,2,1,1,2,2,1,1
11,11,40,4.864530590760971e-05,0,0,3,3,3,3,0,0,0,3,0,0,1,1,1,2,1,2,2,2,1,1,2,1,1
11,11,40,4.825692023170065e-05,0,0,0,3,3,3,3,0,0,3,0,0,1,2,1,1,2,1,2,1,1,2,2,1,1
11,11,40,9.962092587067377e-05,0,0,0,3,0,0,3,0,0,3,3,3,2,1,1,1,1,1,2,2,1,2,2,1,1
11,11,40,4.913078800249604e-05,0,0,3,0,0,3,3,0,0,0,3,3,2,2,2,1,1,1,2,2,1,1,1,1,1
11,11,40,5.107271638204133e-05,0,0,3,3,0,0,3,0,0,0,3,3,2,2,1,1,1,2,2,2,1,1,1,1,1
11,11,40,4.786853455579159e-05,0,0,0,3,3,0,0,3,3,0,3,0,1,1,1,1,2,1,1,2,2,2,2,1,1
11,11,40,4.864530590760971e-05,0,0,3,3,0,0,3,3,0,3,0,0,2,2,1,1,1,2,1,1,1,2,2,1,1
11,11,40,4.981046293533689e-05,0,0,3,3,3,0,3,0,0,3,0,0,1,1,2,2,1,2,1,2,1,2,1,1,1
11,11,40,5.107271638204133e-05,0,0,3,0,0,3,3,3,0,3,0,0,2,2,2,2,1,1,1,1,1,1,2,1,1
11,11,40,4.903369158351877e-05,0,0,3,3,0,3,0,3,0,0,0,3,1,2,1,2,2,1,2,2,1,1,1,1,1
11,11,40,4.825692023170065e-05,0,0,0,3,0,0,0,0,3,3,3,3,1,1,1,1,1,2,1,2,2,2,2,1,1
11,11,40,4.8159823812723385e-05,0,0,0,3,0,0,3,3,3,0,3,0,1,2,2,2,1,2,2,1,1,1,1,1,1
11,11,40,4.981046293533689e-05,0,0,3,3,0,3,0,3,3,0,0,0,1,1,2,1,1,2,1,2,1,2,2,1,1
11,11,40,4.845111306965518e-05,0,0,3,3,0,0,0,0,3,0,3,3,2,2,1,1,2,2,1,2,1,1,1,1,1
11,11,40,4.631499185215534e-05,0,0,3,3,3,3,0,3,0,0,0,0,1,2,2,1,2,2,2,1,1,1,1,1,1
11,11,40,4.942207725942783e-05,0,0,3,0,3,0,3,0,0,0,3,3,1,1,1,2,2,1,1,2,1,2,2,1,1
11,11,40,4.825692023170065e-05,0,0,0,0,0,3,0,3,3,0,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1
11,11,40,4.913078800249604e-05,0,0,0,0,0,3,0,3,0,3,3,3,1,2,2,1,2,2,2,1,1,1,1,1,1
11,11,40,4.981046293533689e-05,0,0,3,3,3,3,0,0,3,0,0,0,1,2,2,1,2,2,2,1,1,1,1,1,1
11,11,40,4.903369158351877e-05,0,0,0,3,0,0,0,0,3,3,3,3,1,2,1,2,1,2,1,1,1,2,2,1,1
11,11,40,0.022563168745517885,0,0,0,0,0,2,0,0,3,1,1,1,1,1,1,1,1
11,11,40,4.825692023170065e-05,0,0,0,0,0,3,3,3,0,0,3,3,1,2,2,1,1,1,2,2,2,1,1,1,1
11,11,40,4.825692023170065e-05,0,0,0,3,3,0,0,0,3,0,3,3,1,2,1,2,1,2,2,1,1,1,2,1,1
11,11,40,4.786853455579159e-05,0,0,0,3,3,0,3,3,0,3,0,0,1,2,1,2,1,2,1,2,1,1,2,1,1
11,11,40,0.00014642139981771546,0,0,0,3,3,3,0,3,3,0,0,0,1,2,1,1,1,2,1,1,2,2,2,1,1
11,11,40,5.107271638204133e-05,0,0,3,0,0,0,3,0,3,0,3,3,2,2,1,1,2,1,1,2,2,1,1,1,1
11,11,40,4.913078800249604e-05,0,0,3,0,3,3,0,0,0,3,3,0,2,2,1,2,1,2,2,1,1,1,1,1,1
11,11,40,4.845111306965518e-05,0,0,3,0,0,3,3,0,0,3,3,0,2,1,1,2,1,2,2,2,1,1,1,1,1
11,11,40,0.00014758655684544265,0,0,3,3,3,3,3,0,0,0,0,0,2,2,2,1,1,2,2,1,1,1,1,1,1
11,11,40,4.845111306965518e-05,0,0,3,3,0,0,0,0,3,0,3,3,2,1,1,2,2,2,2,1,1,1,1,1,1
11,11,40,4.864530590760971e-05,0,0,0,0,0,3,3,0,0,3,3,3,2,1,1,2,2,1,1,1,2,1,2,1,1
11,11,40,4.786853455579159e-05,0,0,0,0,3,3,3,3,0,3,0,0,2,2,2,2,2,1,1,1,1,1,1,1,1
11,11,40,4.786853455579159e-05,0,0,0,3,3,3,3,3,0,0,0,0,2,1,1,1,2,2,1,1,2,2,1,1,1
11,11,40,4.631499185215534e-05,0,0,3,0,0,0,3,3,0,3,0,3,1,1,1,2,2,2,1,1,2,1,2,1,1
11,11,40,4.631499185215534e-05,0,0,0,3,3,0,0,3,0,3,0,3,2,2,2,2,1,1,2,1,1,1,1,1,1
11,11,40,4.942207725942783e-05,0,0,3,0,0,3,0,3,3,3,0,0,1,2,1,1,2,1,2,1,2,2,1,1,1
11,11,40,4.786853455579159e-05,0,0,3,0,0,0,3,0,3,0,3,3,2,1,1,2,2,1,2,2,1,1,1,1,1
11,11,40,4.864530590760971e-05,0,0,0,3,0,3,0,0,3,0,3,3,2,1,1,1,2,2,2,1,2,1,1,1,1
11,11,40,4.845111306965518e-05,0,0,0,3,3,3,3,3,0,0,0,0,1,2,2,2,1,2,2,1,1,1,1,1,1
11,11,40,5.107271638204133e-05,0,0,3,3,3,0,3,0,0,0,3,0,1,2,1,2,2,1,1,1,2,2,1,1,1
11,11,40,4.864530590760971e-05,0,0,3,0,3,0,0,3,0,0,3,3,1,1,1,1,2,1,2,1,2,2,2,1,1
11,11,40,5.107271638204133e-05,0,0,3,3,0,3,0,3,3,0,0,0,2,2,1,2,1,2,1,1,2,1,1,1,1
11,11,40,4.786853455579159e-05,0,0,0,3,0,3,0,0,3,3,3,0,2,2,2,2,1,2,1,1,1,1,1,1,1
11,11,40,4.825692023170065e-05,0,0,3,3,0,3,3,0,3,0,0,0,1,1,2,1,2,1,2,2,2,1,1,1,1
11,11,40,4.942207725942783e-05,0,0,3,0,0,0,3,0,0,3,3,3,2,2,1,1,2,2,1,2,1,1,1,1,1
11,11,40,4.942207725942783e-05,0,0,3,3,0,3,0,3,0,3,0,0,2,1,2,2,2,1,1,1,2,1,1,1,1
11,11,40,4.913078800249604e-05,0,0,3,0,3,0,3,0,3,3,0,0,1,2,1,1,1,1,2,2,1,2,2,1,1
11,11,40,4.864530590760971e-05,0,0,0,3,3,0,3,3,0,0,3,0,1,2,1,1,2,1,1,2,1,2,2,1,1
11,11,40,4.864530590760971e-05,0,0,3,3,3,3,3,0,0,0,0,0,1,2,2,2,1,2,1,2,1,1,1,1,1
11,11,40,4.631499185215534e-05,0,0,0,0,0,3,3,0,0,3,3,3,2,1,2,1,2,1,2,2,1,1,1,1,1
11,11,40,5.146110205795039e-05,0,0,0,3,0,3,0,0,0,3,3,3,1,1,2,2,2,2,1,2,1,1,1,1,1
11,11,40,4.981046293533689e-05,0,0,0,0,3,3,0,3,3,3,0,0,2,2,1,2,1,2,2,1,1,1,1,1,1
11,11,40,5.146110205795039e-05,0,0,3,0,3,3,3,3,0,0,0,0,2,2,2,1,1,1,2,1,1,2,1,1,1
11,11,40,4.903369158351877e-05,0,0,3,3,0,3,0,0,0,0,3,3,1,1,1,1,1,2,2,2,1,2,2,1,1
11,11,40,4.8159823812723385e-05,0,0,0,0,3,3,0,0,0,3,3,3,1,1,1,2,2,1,1,2,2,2,1,1,1
11,11,40,4.8159823812723385e-05,0,0,3,3,3,0,3,0,0,3,0,0,1,2,2,1,2,2,1,1,1,2,1,1,1
11,11,40,4.786853455579159e-05,0,0,0,3,3,3,0,3,0,3,0,0,2,2,2,1,1,2,1,1,1,1,2,1,1
11,11,40,4.981046293533689e-05,0,0,0,0,3,3,3,3,3,0,0,0,2,2,2,2,1,2,1,1,1,1,1,1,1
11,11,40,5.146110205795039e-05,0,0,3,3,3,3,0,0,0,3,0,0,1,2,2,2,1,1,1,2,2,1,1,1,1
11,11,40,5.107271638204133e-05,0,0,0,3,3,0,3,0,0,3,0,3,1,1,2,1,1,1,2,2,1,2,2,1,1
11,11,40,4.631499185215534e-05,0,0,0,0,0,3,3,0,3,0,3,3,2,2,1,1,2,2,1,1,2,1,1,1,1
11,11,40,4.8159823812723385e-05,0,0,3,3,3,3,0,0,0,3,0,0,1,2,1,2,1,2,2,2,1,1,1,1,1
11,11,40,4.845111306965518e-05,0,0,3,3,0,0,0,0,3,3,3,0,2,2,1,2,1,2,2,1,1,1,1,1,1
11,11,40,9.894125093783292e-05,0,0,3,0,0,3,3,3,3,0,0,0,1,2,1,2,1,2,1,2,1,1,2,1,1
11,11,40,4.631499185215534e-05,0,0,3,0,0,3,0,0,0,3,3,3,2,2,1,1,1,2,2,2,1,1,1,1,1
11,11,40,5.107271638204133e-05,0,0,0,0,0,0,3,0,3,3,3,3,1,1,2,2,2,2,1,1,2,1,1,1,1
11,11,40,5.146110205795039e-05,0,0,3,0,3,3,3,0,3,0,0,0,2,2,1,1,2,1,1,1,2,1,2,1,1
11,11,40,5.107271638204133e-05,0,0,0,0,3,3,0,0,3,3,3,0,1,1,2,1,2,1,1,2,1,2,2,1,1
11,11,40,4.8159823812723385e-05,0,0,3,3,0,3,0,3,0,0,3,0,2,1,2,1,2,1,2,1,2,1,1,1,1
11,11,40,4.825692023170065e-05,0,0,0,3,3,3,0,3,0,0,0,3,2,2,2,1,1,1,2,2,1,1,1,1,1
11,11,40,5.146110205795039e-05,0,0,0,3,3,3,0,3,3,0,0,0,1,2,1,1,2,2,1,1,2,2,1,1,1
11,11,40,4.913078800249604e-05,0,0,0,3,0,3,3,3,3,0,0,0,2,2,1,1,2,1,1,2,2,1,1,1,1
11,11,40,9.729061181521942e-05,0,0,0,0,0,3,0,3,0,3,3,3,2,2,2,1,1,1,2,1,2,1,1,1,1
11,11,40,4.942207725942783e-05,0,0,0,0,3,3,3,0,0,3,0,3,1,2,1,1,1,2,1,2,1,2,2,1,1
11,11,40,5.146110205795039e-05,0,0,0,3,3,0,3,3,0,3,0,0,1,1,1,2,2,2,2,2,1,1,1,1,1
11,11,40,4.942207725942783e-05,0,0,0,3,0,0,0,3,3,3,3,0,2,2,2,1,1,1,1,1,2,2,1,1,1
11,11,40,4.786853455579159e-05,0,0,0,0,3,3,0,0,3,3,3,0,2,1,1,2,2,1,2,1,1,2,1,1,1
11,11,40,4.845111306965518e-05,0,0,0,0,0,0,3,3,0,3,3,3,2,1,2,1,2,1,1,1,2,1,2,1,1
11,11,40,4.864530590760971e-05,0,0,0,3,3,3,0,0,0,0,3,3,1,1,2,2,1,2,1,2,2,1,1,1,1
11,11,40,5.107271638204133e-05,0,0,0,0,0,3,3,3,0,3,0,3,1,2,1,2,1,1,2,2,1,2,1,1,1
11,11,40,4.942207725942783e-05,0,0,0,0,3,0,3,3,0,0,3,3,1,2,2,2,2,1,2,1,1,1,1,1,1
11,11,40,9.806738316703754e-05,0,0,0,0,0,3,0,0,3,3,3,3,1,2,2,1,2,2,2,1,1,1,1,1,1
11,11,40,4.981046293533689e-05,0,0,0,0,0,3,3,3,3,3,0,0,1,2,2,2,2,1,2,1,1,1,1,1,1
11,11,40,4.913078800249604e-05,0,0,3,3,3,0,3,0,0,3,0,0,1,1,2,1,2,1,2,1,1,2,2,1,1
11,11,40,4.8159823812723385e-05,0,0,0,0,0,0,0,3,3,3,3,3,1,1,1,2,1,1,2,1,2,2,2,1,1
11,11,40,4.786853455579159e-05,0,0,3,0,3,0,3,0,0,0,3,3,2,1,2,2,2,1,1,1,1,1,2,1,1
11,11,40,4.825692023170065e-05,0,0,3,3,3,0,3,0,0,0,3,0,2,1,1,2,1,2,1,1,1,2,2,1,1
11,11,40,4.786853455579159e-05,0,0,3,3,0,0,3,3,3,0,0,0,2,2,2,2,1,1,2,1,1,1,1,1,1
11,11,40,4.913078800249604e-05,0,0,0,0,3,3,3,3,3,0,0,0,1,2,2,2,2,2,1,1,1,1,1,1,1
11,11,40,4.942207725942783e-05,0,0,3,3,3,0,3,0,3,0,0,0,2,1,2,1,1,1,1,2,1,2,2,1,1
11,11,40,4.845111306965518e-05,0,0,0,0,0,0,3,3,3,3,0,3,1,1,1,1,1,1,2,2,2,2,2,1,1
11,11,40,4.981046293533689e-05,0,0,3,0,0,3,0,3,0,0,3,3,1,1,2,1,2,2,1,2,1,1,2,1,1
11,11,40,4.631499185215534e-05,0,0,3,3,0,0,0,0,3,0,3,3,2,2,1,1,1,1,1,1,2,2,2,1,1
11,11,40,4.786853455579159e-05,0,0,3,3,0,0,0,0,0,3,3,3,2,2,1,2,2,1,2,1,1,1,1,1,1
11,11,40,4.786853455579159e-05,0,0,0,0,3,0,3,3,3,3,0,0,2,2,2,2,1,2,1,1,1,1,1,1,1
11,11,40,4.942207725942783e-05,0,0,0,3,0,3,0,3,0,0,3,3,2,2,1,2,2,1,1,2,1,1,1,1,1
11,11,40,4.786853455579159e-05,0,0,3,3,0,0,0,3,0,3,0,3,1,2,2,2,1,2,1,2,1,1,1,1,1
11,11,40,4.631499185215534e-05,0,0,3,0,0,0,0,3,3,0,3,3,2,2,1,1,1,1,1,2,2,2,1,1,1
11,11,40,4.8159823812723385e-05,0,0,3,3,0,3,0,3,3,0,0,0,2,2,1,1,1,2,1,1,1,2,2,1,1
11,11,40,4.903369158351877e-05,0,0,3,3,3,3,0,0,0,0,3,0,1,1,1,1,2,2,2,1,1,2,2,1,1
11,11,40,4.864530590760971e-05,0,0,3,3,0,0,3,0,3,0,3,0,1,1,2,1,1,2,1,2,2,1,2,1,1
11,11,40,4.864530590760971e-05,0,0,3,3,0,0,3,0,3,3,0,0,1,1,1,2,2,2,2,1,1,1,2,1,1
11,11,40,4.786853455579159e-05,0,0,3,3,0,0,3,3,3,0,0,0,2,1,1,1,2,1,2,2,2,1,1,1,1
11,11,40,4.8159823812723385e-05,0,0,3,0,3,3,3,0,3,0,0,0,1,2,2,1,1,1,1,2,2,1,2,1,1
11,11,40,4.786853455579159e-05,0,0,3,3,0,3,3,3,0,0,0,0,2,2,2,1,1,1,2,2,1,1,1,1,1
11,11,40,4.864530590760971e-05,0,0,0,3,0,0,0,3,0,3,3,3,1,2,2,2,1,2,1,2,1,1,1,1,1
11,11,40,4.903369158351877e-05,0,0,3,0,0,0,0,3,0,3,3,3,1,1,1,1,2,1,1,2,2,2,2,1,1
11,11,40,5.107271638204133e-05,0,0,3,3,0,0,3,3,3,0,0,0,2,1,1,1,2,2,2,1,2,1,1,1,1
11,11,40,4.913078800249604e-05,0,0,3,3,0,3,3,3,0,0,0,0,1,2,1,1,2,2,1,1,2,2,1,1,1
11,11,40,4.913078800249604e-05,0,0,3,3,0,0,3,0,3,0,3,0,2,1,1,1,2,2,2,2,1,1,1,1,1
11,11,40,4.903369158351877e-05,0,0,0,0,3,0,3,3,0,3,0,3,2,1,2,2,1,2,2,1,1,1,1,1,1
11,11,40,4.864530590760971e-05,0,0,3,0,0,3,3,0,3,0,0,3,2,1,2,1,2,1,2,2,1,1,1,1,1
11,11,40,4.8159823812723385e-05,0,0,3,3,0,0,3,0,3,0,0,3,2,1,1,2,2,1,2,2,1,1,1,1,1
11,11,40,4.981046293533689e-05,0,0,3,0,3,0,3,3,3,0,0,0,2,2,1,1,1,2,2,2,1,1,1,1,1
